Remote Event Rate,NLP,Mean TS,Evt Memory Multiplier,Lookahead,Start-Events,Stagger,Memory,read-buffer,send-buffer,synch,nkp,end_ts,batch_size,extramem,buddy-size,lz4-knob,avl-size,gvt-interval,report-interval,clock-rate,Total Nodes,Total Processors,Total KPs,Total LPs,Sim End Time,LP-PE Mapping,Model Events Allocated,Network Events Allocated,Total Events Allocated,Running Time,Total Events Proc,Events Aborted RollBack,Events Rolled Back,Event Ties,Efficiency,Remote Shared Memory events,Percent Rem Mem Evts,Total Remote Network Events,Percent Network Remote Events,Total Roll Backs,Primary Roll Backs,Secondary Roll Backs,Fossil Collect Attempts,Total GVT Computations,Net Events,Event Rate,Total Evts Past End time,Evts Allocated,Mem Alloc,Mem Waste,Remote sends,Remote Recvs,PE Struct,KP Struct,LP Struct,LP Model Struct,LP RNGs,Total LP,Event Struct,Event Struct with Model,Priority Queue,AVL Tree,LZ4,Buddy System,Event Processing,Event Cancel,Event Abort,GVT,Fossil Collect,Primary Rollbacks,Network Read,Total Time
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,16,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,56.2754,431884397,0,380684909,303899302,-643.53,0,0,12399912,24.22,51802916,29848790,21954126,421344,13167,51199488,909802.62,6681,55123,29822,915,195867436,195867436,592,104,56,8,80,144,120,128,1.6681,2.6504,0,0,25.8888,21.1794,0,29.1888,0.3285,36.8334,5.235,118.1842
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,16,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,77.3873,679039150,0,576640174,588337997,-463.13,0,0,24804096,24.22,61687925,46329927,15357998,233888,7309,102398976,1323201.06,5728,55145,29827,912,303470272,303470272,592,104,56,8,80,144,120,128,2.8425,5.0919,0,0,41.3018,15.9436,0,22.8262,0.7077,77.171,6.9397,162.5215
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,512,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,23.5217,196277254,0,170677510,103688049,-566.72,0,0,6200930,24.22,24454152,12980443,11473709,67424,2107,25599744,1088346.98,2723,55112,29820,916,89037738,89037738,592,104,56,8,80,144,120,128,0.693,1.5125,0,0,11.6979,10.8978,0,5.6757,0.1711,15.465,5.8615,49.398
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,512,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,28.5165,268269719,0,217070231,188775259,-323.97,0,0,12399912,24.22,31256277,18731242,12525035,22720,710,51199488,1795433.99,3093,55123,29822,915,117132878,117132878,592,104,56,8,80,144,120,128,1.0625,2.5009,0,0,16.1195,11.7217,0,3.4828,0.5442,23.2577,4.5391,59.8877
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,512,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,53.6837,518254901,0,415855925,452699855,-306.11,0,0,24804096,24.22,45087814,35449368,9638446,28896,903,102398976,1907451.11,4605,55145,29827,912,225970396,225970396,592,104,56,8,80,144,120,128,2.2992,5.2355,0,0,31.554,9.6502,0,3.1225,1.1948,60.1074,6.1383,112.7414
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,1024,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,17.7153,155801937,0,130202193,84202931,-408.61,0,0,6200930,24.22,18914174,10437012,8477162,24480,765,25599744,1445061.73,1984,55112,29820,916,69396122,69396122,592,104,56,8,80,144,120,128,0.5603,1.3545,0,0,9.3776,7.7595,0,2.8814,0.2133,12.3231,4.5542,37.2041
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,1024,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,22.2098,220167906,0,168968418,158951043,-230.02,0,0,12399912,24.22,24853959,15624000,9229959,14368,449,51199488,2305260.41,2057,55123,29822,915,93905548,93905548,592,104,56,8,80,144,120,128,0.8795,2.0435,0,0,13.2034,7.7657,0,1.4381,0.5101,19.0078,3.6668,46.643
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,1024,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,53.962,518492055,0,416093079,452967918,-306.34,0,0,24804096,24.22,45096636,35458816,9637820,28864,902,102398976,1897612.23,4554,55145,29827,912,226089384,226089384,592,104,56,8,80,144,120,128,2.2901,5.181,0,0,31.3371,8.9214,0,3.6896,1.1876,59.9032,6.4402,113.3259
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,16,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,32.6268,204653943,0,179054199,116794490,-599.44,0,0,6200930,24.22,24171852,13556352,10615500,620224,19382,25599744,784623.75,1843,55112,29820,916,92037448,92037448,592,104,56,8,80,144,120,128,0.8002,1.2001,0,0,12.47,10.9602,0,27.2833,0.1749,16.0417,3.6465,68.5197
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,16,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,41.2575,318931726,0,267732238,231336230,-422.92,0,0,12399912,24.22,40288147,21812280,18475867,467328,14604,51199488,1240974.86,2670,55123,29822,915,139803622,139803622,592,104,56,8,80,144,120,128,1.2273,1.926,0,0,19.2597,17.1238,0,22.8083,0.3131,22.8827,5.0496,86.6451
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,16,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,25.5805,259703127,0,157304151,235595935,-53.62,0,0,24804096,24.22,25884474,17167718,8716756,262240,8195,102398976,4003014.17,6654,55145,29827,912,98759272,98759272,592,104,56,8,80,144,120,128,1.1341,1.7329,0,0,15.6377,6.8409,0,8.6201,0.5484,18.2704,4.3321,53.7217
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,512,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,20.7338,172103655,0,146503911,92128705,-472.29,0,0,6200930,24.22,21776564,11448948,10327616,68192,2131,25599744,1234683.87,2665,55112,29820,916,76768728,76768728,592,104,56,8,80,144,120,128,0.6087,1.3341,0,0,10.6645,9.7683,0,5.3254,0.1636,12.5573,5.7272,43.5433
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,512,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,18.2545,181186984,0,129987496,131822549,-153.88,0,0,12399912,24.22,21187901,12422425,8765476,22400,700,51199488,2804762.27,2548,55123,29822,915,74010452,74010452,592,104,56,8,80,144,120,128,0.7076,1.5787,0,0,10.8051,7.9587,0,2.3375,0.4276,12.3379,3.9693,38.3363
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,512,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,18.6331,215716853,0,113317877,196593213,-10.66,0,0,24804096,24.22,19827011,13717989,6109022,27808,869,102398976,5495540.71,1997,55145,29827,912,77804150,77804150,592,104,56,8,80,144,120,128,0.9777,1.9651,0,0,12.9799,4.3655,0,1.6888,0.8067,13.9428,4.3934,39.1315
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,1024,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,15.0961,133679434,0,108079690,73608747,-322.19,0,0,6200930,24.22,16399699,9032322,7367377,24192,756,25599744,1695780.1,1661,55112,29820,916,58225218,58225218,592,104,56,8,80,144,120,128,0.4955,1.154,0,0,7.9376,6.8238,0,2.5477,0.1982,10.0338,4.3676,31.7035
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,1024,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,13.9391,145610915,0,94411427,109407703,-84.4,0,0,12399912,24.22,16253126,10155409,6097717,14176,443,51199488,3673080.51,2265,55123,29822,915,56978852,56978852,592,104,56,8,80,144,120,128,0.5889,1.3455,0,0,8.7936,4.8931,0,1.2185,0.478,10.1871,3.2591,29.2736
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,64,5000,0,1,18,1024,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,19.5584,217419193,0,115020217,198090405,-12.33,0,0,24804096,24.22,20068554,13864251,6204303,27744,867,102398976,5235555.09,1635,55145,29827,912,78622150,78622150,592,104,56,8,80,144,120,128,0.9706,2.0261,0,0,13.1913,4.4757,0,2.4114,0.8773,14.4037,4.6825,41.0747
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,17.0585,107740534,0,82140790,65940102,-220.87,0,0,6200930,24.22,13157897,7046372,6111525,662944,20717,25599744,1500705.4,1116,55112,37821,1106,44897708,44897708,592,104,56,8,80,144,120,128,0.3993,0.5781,0,0,6.4064,5.318,0,15.1907,0.1569,6.2262,3.1959,35.8246
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,13.8791,113477789,0,62278301,86784495,-21.64,0,0,12399912,24.22,12160015,6944802,5215213,498176,15568,51199488,3688959.4,1110,55123,37824,1105,41320996,41320996,592,104,56,8,80,144,120,128,0.4883,0.6051,0,0,6.9151,4.0225,0,9.7722,0.2744,5.3762,3.4992,29.1476
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,9.2177,115810254,0,13411278,106127471,86.9,0,0,24804096,24.22,3927097,3214628,712469,455712,14241,102398976,11108954.44,1254,55145,37829,1102,30460092,30460092,592,104,56,8,80,144,120,128,0.4381,0.4358,0,0,7.1888,0.3327,0,5.7819,0.4412,1.7905,4.2178,19.3581
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,512,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,11.295,93666353,0,68066609,52852137,-165.89,0,0,6200930,24.22,11446487,5833240,5613247,61440,1920,25599744,2266458.5,1165,55112,37821,1106,38306128,38306128,592,104,56,8,80,144,120,128,0.3453,0.7045,0,0,5.578,5.2776,0,3.2099,0.153,4.7193,5.101,23.7208
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,512,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,9.1867,98307540,0,47108052,75137517,7.99,0,0,12399912,24.22,8318711,4797416,3521295,25440,795,51199488,5573210.79,677,55123,37824,1105,34240266,34240266,592,104,56,8,80,144,120,128,0.3914,0.8372,0,0,6.0139,3.6801,0,1.626,0.3564,3.454,4.4113,19.2931
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,512,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,9.1938,129150548,0,26751572,114952923,73.88,0,0,24804096,24.22,6550557,4689472,1861085,27808,869,102398976,11137817.29,1199,55145,37829,1102,36709026,36709026,592,104,56,8,80,144,120,128,0.5257,0.9742,0,0,7.9143,1.0044,0,1.1687,0.6607,3.1163,5.6492,19.308
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,1024,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,8.3936,73971012,0,48371268,43032065,-88.95,0,0,6200930,24.22,8492565,4643243,3849322,22720,710,25599744,3049919.94,1047,55112,37821,1106,28915996,28915996,592,104,56,8,80,144,120,128,0.2746,0.6235,0,0,4.4409,3.3319,0,1.8354,0.1748,3.7588,4.0212,17.6274
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,1024,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,6.1212,74853049,0,23653561,59625762,53.8,0,0,12399912,24.22,5169964,3562411,1607553,14112,441,51199488,8364316.68,1165,55123,37824,1105,23079126,23079126,592,104,56,8,80,144,120,128,0.2952,0.635,0,0,4.5401,1.1644,0,0.9313,0.3587,2.4338,3.3571,12.8551
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,16,5000,0,1,18,1024,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,9.5096,128073178,0,25674202,114314452,74.93,0,0,24804096,24.22,6286267,4513764,1772503,27488,859,102398976,10767920.91,1243,55145,37829,1102,36206352,36206352,592,104,56,8,80,144,120,128,0.5121,0.9836,0,0,7.7603,1.0429,0,1.7269,0.696,2.9197,5.9266,19.9712
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,16,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,35.8121,228350629,0,202750885,128202263,-692,0,0,6200930,24.22,26362595,15009748,11352847,588448,18389,25599744,714835.92,2234,55112,37821,1106,104025318,104025318,592,104,56,8,80,144,120,128,0.8268,1.3186,0,0,13.7916,11.6223,0,29.0427,0.1729,18.8468,3.7351,75.2091
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,16,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,55.9648,433624515,0,382425027,305224171,-646.93,0,0,12399912,24.22,52033484,29994462,22039022,421504,13172,51199488,914851.11,4236,55123,37824,1105,196728112,196728112,592,104,56,8,80,144,120,128,1.699,2.6346,0,0,25.5986,21.1987,0,29.3359,0.3385,37.2166,5.2551,117.5321
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,16,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,68.0093,594916348,0,492517372,492139010,-380.98,0,0,24804096,24.22,69617381,43318787,26298594,247552,7736,102398976,1505660.93,10165,55145,37829,1102,261521336,261521336,592,104,56,8,80,144,120,128,2.5618,3.8641,0,0,35.9194,24.0686,0,23.2358,0.6577,55.0076,6.0004,142.8268
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,512,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,23.6378,196701363,0,171101619,103875005,-568.37,0,0,6200930,24.22,24506133,13005155,11500978,67712,2116,25599744,1083000.78,1743,55112,37821,1106,89264968,89264968,592,104,56,8,80,144,120,128,0.7087,1.4825,0,0,11.6559,11.0324,0,5.8951,0.1613,15.328,5.8511,49.6419
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,512,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,28.0721,264961388,0,213761900,186673235,-317.51,0,0,12399912,24.22,30802624,18515494,12287130,22240,695,51199488,1823858.47,2227,55123,37824,1105,115489624,115489624,592,104,56,8,80,144,120,128,1.0732,2.455,0,0,16.0075,11.4996,0,3.191,0.5485,22.9754,4.5347,58.9543
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,512,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,39.5292,398170454,0,295771478,335610009,-188.84,0,0,24804096,24.22,43300904,29468457,13832447,29504,922,102398976,2590466,3483,55145,37829,1102,166833688,166833688,592,104,56,8,80,144,120,128,1.7945,3.3205,0,0,24.1253,12.6608,0,2.6541,1.073,36.8072,4.8348,83.0154
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,1024,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,18.4912,159964894,0,134365150,86048155,-424.87,0,0,6200930,24.22,19493059,10696970,8796089,26304,822,25599744,1384425.64,1939,55112,37821,1106,71430974,71430974,592,104,56,8,80,144,120,128,0.5811,1.4002,0,0,9.635,8.1383,0,3.1104,0.2049,13.0801,4.8074,38.8335
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,1024,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,23.6838,226324753,0,175125265,162671962,-242.04,0,0,12399912,24.22,25674348,16008796,9665552,14720,460,51199488,2161797.37,2420,55123,37824,1105,96883144,96883144,592,104,56,8,80,144,120,128,0.9469,2.2325,0,0,13.8558,7.4629,0,1.6692,0.6199,21.0556,4.0587,49.7384
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,512,5000,0,1,18,1024,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,39.3421,394428214,0,292029238,332657205,-185.19,0,0,24804096,24.22,42800530,29213919,13586611,29376,918,102398976,2602782.23,3946,55145,37829,1102,165039686,165039686,592,104,56,8,80,144,120,128,1.7472,3.2617,0,0,23.7243,12.5938,0,3.2554,0.9983,36.8469,4.8743,82.6226
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,16,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,31.6933,204876023,0,179276279,116886348,-600.3,0,0,6200930,24.22,24243684,13591778,10651906,618752,19336,25599744,807732.78,2019,55112,37821,1106,92166474,92166474,592,104,56,8,80,144,120,128,0.724,1.1518,0,0,12.1947,10.3913,0,26.1402,0.1714,15.3985,3.5401,66.5593
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,16,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,41.3233,318678601,0,267479113,231167226,-422.43,0,0,12399912,24.22,40261723,21805719,18456004,466976,14593,51199488,1238997.9,2990,55123,37824,1105,139678756,139678756,592,104,56,8,80,144,120,128,1.2688,1.973,0,0,18.9948,17.5171,0,22.9754,0.3286,22.8646,4.9317,86.7833
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,16,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,24.3375,245971682,0,143572706,213079416,-40.21,0,0,24804096,24.22,27117291,16130816,10986475,255840,7995,102398976,4207450.42,1414,55145,37829,1102,91949280,91949280,592,104,56,8,80,144,120,128,1.1245,1.4469,0,0,14.8937,8.8119,0,9.0829,0.5502,14.0926,4.0792,51.1114
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,512,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,20.0809,168722795,0,143123051,90589033,-459.08,0,0,6200930,24.22,21297194,11235925,10061269,65760,2055,25599744,1274827.78,2550,55112,37821,1106,75137914,75137914,592,104,56,8,80,144,120,128,0.5937,1.2656,0,0,9.888,9.453,0,5.0581,0.1611,12.0209,5.5415,42.1721
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,512,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,18.4629,182135447,0,130935959,132395299,-155.74,0,0,12399912,24.22,21320241,12486726,8833515,22496,703,51199488,2773095.98,1663,55123,37824,1105,74476634,74476634,592,104,56,8,80,144,120,128,0.7494,1.615,0,0,10.9556,8.16,0,2.3724,0.4623,12.4402,4.0318,38.7741
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,512,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,12.5238,162597200,0,60198224,144448288,41.21,0,0,24804096,24.22,13057155,9229636,3827519,28000,875,102398976,8176328.76,1225,55145,37829,1102,52320260,52320260,592,104,56,8,80,144,120,128,0.7532,1.2416,0,0,9.9512,2.4415,0,1.5151,0.7614,7.3073,3.7337,26.3014
0.25,8,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,1024,0.01,1000000000,32,32,1024,256,100000,linear,5112,50000,50111,15.5664,135552494,0,109952750,74498212,-329.51,0,0,6200930,24.22,16657907,9150169,7507738,24928,779,25599744,1644552.4,1377,55112,37821,1106,59122892,59122892,592,104,56,8,80,144,120,128,0.4837,1.1792,0,0,8.099,6.8049,0,2.7063,0.2116,10.3084,4.5337,32.691
0.25,16,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,1024,0.01,1000000000,32,32,1024,512,100000,linear,5123,50000,50122,14.2934,147189266,0,95989778,110365656,-87.48,0,0,12399912,24.22,16468050,10257862,6210188,14336,448,51199488,3582038.53,1621,55123,37824,1105,57736370,57736370,592,104,56,8,80,144,120,128,0.6226,1.3872,0,0,8.9793,4.8585,0,1.3374,0.4804,10.3226,3.4317,30.0176
0.25,32,1,1.4,1,1,0,100,50000,50000,3,32,100000,64,5000,0,1,18,1024,0.01,1000000000,32,32,1024,1024,100000,linear,5145,50000,50144,12.792,161589915,0,59190939,143664729,42.2,0,0,24804096,24.22,12914121,9158362,3755759,27904,872,102398976,8004902.43,1482,55145,37829,1102,51837178,51837178,592,104,56,8,80,144,120,128,0.7952,1.1886,0,0,9.8242,2.5314,0,2.1465,0.7226,7.3045,3.8831,26.8646
0.25,8,1,1.4,1,1,0,100,50000,50000,3,64,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,2048,256,100000,linear,5112,50000,50111,17.446,108267570,0,82667826,66253133,-222.92,0,0,6200930,24.22,13209919,7077859,6132060,668128,20879,25599744,1467373.34,1222,55112,53825,1486,45145692,45145692,592,104,56,8,80,144,120,128,0.4183,0.6286,0,0,6.5223,5.8089,0,15.989,0.1782,6.5142,3.2684,36.6384
0.25,16,1,1.4,1,1,0,100,50000,50000,3,64,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,2048,512,100000,linear,5123,50000,50122,14.0475,114010017,0,62810529,87137053,-22.68,0,0,12399912,24.22,12240194,6984963,5255231,500640,15645,51199488,3644745.65,1187,55123,53827,1485,41566934,41566934,592,104,56,8,80,144,120,128,0.4722,0.6232,0,0,7.0164,4.0466,0,9.9234,0.2886,5.4449,3.5202,29.5012
